"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25170081,"癒酒屋　てんほう","飲食店営業","平野","長吉長原４丁目８番１号",34.601816,135.569686,"有限会社　天鵬","大　保環第8283号","令和5年7月31日",NA
25002351,"彦ヱ門","飲食店営業","平野","長吉長原４丁目８番９号",34.601524,135.570253,"松野　隆次","大　保環第15133号","令和3年11月30日",NA
25080191,"ＡＲＴ　ＧＡＬＬＥＲＹ　ＡＭＡＮＯ","飲食店営業","平野","長吉長原４丁目９番１４号",34.601449,135.571544,"天野　晃治","大　保環第10151号","令和2年9月30日",NA
25260213,"居酒屋　こまり","飲食店営業","平野","長吉長原４丁目９番１４号",34.601449,135.571544,"山本　まり子","大　保環第15997号","令和2年12月27日",NA
25260285,"にしき","飲食店営業","平野","長吉長原４丁目１０番１６号",34.599958,135.570375,"曽　秀錦","大　保環第21577号","令和3年3月31日",NA
25270208,"天宗長吉園","飲食店営業","平野","長吉長原４丁目１０番３４号",34.60068,135.569958,"株式会社　マルワ","大　保環第21900号","令和4年3月31日","新規"
25250009,"スーパーコート　平野事業所","飲食店営業","平野","長吉長原４丁目１５番２４号",34.599735,135.572117,"藏ウェルフェアサービス株式会社","大 保食第19-4377号","令和7年5月31日","更新"
25270145,"あかねこ","飲食店営業","平野","長吉長原４丁目１６番３号",34.601055,135.571997,"岡本　織華","大　保環第15846号","令和3年12月27日",NA
25170314,"炭火焼肉　鶴兆　本店","飲食店営業","平野","長吉長原４丁目１６番８号",34.60103,135.572599,"株式会社鶴兆","大 保食第17-4838号","令和6年1月31日","更新"
25260214,"ひらのケアセンター　そよ風","飲食店営業","平野","長吉長原４丁目１７番６号",34.601688,135.572285,"株式会社　ユニマットリタイアメント・コミ","大　保環第15012号","令和2年11月30日",NA
25110149,"ガスト長吉長原店","飲食店営業","平野","長吉長原４丁目１８番４号",34.601822,135.57308,"株式会社すかいらーくレストランツ","大　保環第11034号","令和5年8月31日","更新"
25190016,"居酒屋　真","飲食店営業","平野","長吉長原４丁目１８番８号",34.601594,135.57308,"新垣　薫","大 保食第19-3218号","令和7年5月31日","更新"
25190037,"鳥貴族　長吉長原店","飲食店営業","平野","長吉長原４丁目１８番８号",34.601594,135.57308,"トラオム株式会社","大 保食第19-1825号","令和7年5月31日","更新"
25260101,"いいかげん","飲食店営業","平野","長吉長原４丁目１８番８号",34.601594,135.57308,"大西　功","大　保環第7278号","令和2年7月31日",NA
